Year,Geography,County,Congressional District,State,Total Population,18 years and over,18 years and over2,"VOTING AGE POPULATION - Citizen, 18 and over population"
2016,5101500US0637037,Los Angeles County (part),Congressional District 37 (115th Congress),California,722138,579089,579089,455342
2016,5101500US0638037,Los Angeles County (part),Congressional District 38 (115th Congress),California,701394,536049,536049,450500
2016,5101500US0638059,Orange County (part),Congressional District 38 (115th Congress),California,15834,12655,12655,11127
2016,5101500US0639037,Los Angeles County (part),Congressional District 39 (115th Congress),California,198582,161004,161004,134094
2016,5101500US0639059,Orange County (part),Congressional District 39 (115th Congress),California,446374,343472,343472,288118
2016,5101500US0639071,San Bernardino County (part),Congressional District 39 (115th Congress),California,77901,59055,59055,53134
2016,5101500US0640037,Los Angeles County (part),Congressional District 40 (115th Congress),California,709435,499959,499959,313882
2016,5101500US0641065,Riverside County (part),Congressional District 41 (115th Congress),California,739304,535376,535376,439093
2016,5101500US0642065,Riverside County (part),Congressional District 42 (115th Congress),California,761341,554073,554073,490862
2016,5101500US0643037,Los Angeles County (part),Congressional District 43 (115th Congress),California,719530,544697,544697,427462
2016,5101500US0644037,Los Angeles County (part),Congressional District 44 (115th Congress),California,721109,515815,515815,378021
2016,5101500US0645059,Orange County (part),Congressional District 45 (115th Congress),California,749687,584935,584935,505172
2016,5101500US0646059,Orange County (part),Congressional District 46 (115th Congress),California,726307,532850,532850,358965
2016,5101500US0647037,Los Angeles County (part),Congressional District 47 (115th Congress),California,419223,322871,322871,274280
2016,5101500US0647059,Orange County (part),Congressional District 47 (115th Congress),California,297735,229084,229084,190002
2016,5101500US0648059,Orange County (part),Congressional District 48 (115th Congress),California,723983,578335,578335,516421
2016,5101500US0649059,Orange County (part),Congressional District 49 (115th Congress),California,172291,129708,129708,117532
2016,5101500US0649073,San Diego County (part),Congressional District 49 (115th Congress),California,557477,431062,431062,387264
2016,5101500US0650065,Riverside County (part),Congressional District 50 (115th Congress),California,87203,62249,62249,57158
2016,5101500US0650073,San Diego County (part),Congressional District 50 (115th Congress),California,648798,493063,493063,425983
2016,5101500US0651025,Imperial County,Congressional District 51 (115th Congress),California,178807,127466,127466,99250
2016,5101500US0651073,San Diego County (part),Congressional District 51 (115th Congress),California,551903,408455,408455,306936
2016,5101500US0652073,San Diego County (part),Congressional District 52 (115th Congress),California,742154,596643,596643,528916
2016,5101500US0653073,San Diego County (part),Congressional District 53 (115th Congress),California,753024,596469,596469,525269
2016,5101500US0801005,Arapahoe County (part),Congressional District 1 (115th Congress),Colorado,53974,43752,43752,40688
2016,5101500US0801031,Denver County,Congressional District 1 (115th Congress),Colorado,663303,525966,525966,462373
2016,5101500US0801059,Jefferson County (part),Congressional District 1 (115th Congress),Colorado,68976,53111,53111,52231
2016,5101500US0802013,Boulder County (part),Congressional District 2 (115th Congress),Colorado,221248,180986,180986,169350
2016,5101500US0802014,Broomfield County,Congressional District 2 (115th Congress),Colorado,62449,47212,47212,44906
2016,5101500US0802019,Clear Creek County,Congressional District 2 (115th Congress),Colorado,9238,7775,7775,7594
2016,5101500US0802037,Eagle County (part),Congressional District 2 (115th Congress),Colorado,15906,12534,12534,10033
2016,5101500US0802047,Gilpin County,Congressional District 2 (115th Congress),Colorado,5708,4584,4584,4493
2016,5101500US0802049,Grand County,Congressional District 2 (115th Congress),Colorado,14490,11855,11855,11256
2016,5101500US0802059,Jefferson County (part),Congressional District 2 (115th Congress),Colorado,79646,62588,62588,61373
2016,5101500US0802069,Larimer County,Congressional District 2 (115th Congress),Colorado,325228,258746,258746,250543
2016,5101500US0802093,Park County (part),Congressional District 2 (115th Congress),Colorado,8676,7186,7186,7012
2016,5101500US0802117,Summit County,Congressional District 2 (115th Congress),Colorado,29269,24393,24393,22341
2016,5101500US0802123,Weld County (part),Congressional District 2 (115th Congress),Colorado,122,122,122,122
2016,5101500US0803003,Alamosa County,Congressional District 3 (115th Congress),Colorado,16353,12342,12342,11397
2016,5101500US0803007,Archuleta County,Congressional District 3 (115th Congress),Colorado,12355,10163,10163,9775
2016,5101500US0803021,Conejos County,Congressional District 3 (115th Congress),Colorado,8213,5972,5972,5811
2016,5101500US0803023,Costilla County,Congressional District 3 (115th Congress),Colorado,3590,2911,2911,2763
2016,5101500US0803027,Custer County,Congressional District 3 (115th Congress),Colorado,4375,3570,3570,3539
2016,5101500US0803029,Delta County,Congressional District 3 (115th Congress),Colorado,30221,23911,23911,23181
2016,5101500US0803033,Dolores County,Congressional District 3 (115th Congress),Colorado,1789,1428,1428,1422
2016,5101500US0803037,Eagle County (part),Congressional District 3 (115th Congress),Colorado,36988,28171,28171,23642
2016,5101500US0803045,Garfield County,Congressional District 3 (115th Congress),Colorado,57495,42522,42522,36037
2016,5101500US0803051,Gunnison County,Congressional District 3 (115th Congress),Colorado,15889,13038,13038,12782
2016,5101500US0803053,Hinsdale County,Congressional District 3 (115th Congress),Colorado,856,707,707,707
2016,5101500US0803055,Huerfano County,Congressional District 3 (115th Congress),Colorado,6521,5495,5495,5459
2016,5101500US0803057,Jackson County,Congressional District 3 (115th Congress),Colorado,1306,1077,1077,1018
2016,5101500US0803065,Lake County,Congressional District 3 (115th Congress),Colorado,7401,5936,5936,5318
2016,5101500US0803067,La Plata County,Congressional District 3 (115th Congress),Colorado,53994,43474,43474,42517
2016,5101500US0803077,Mesa County,Congressional District 3 (115th Congress),Colorado,148166,114922,114922,112008
2016,5101500US0803079,Mineral County,Congressional District 3 (115th Congress),Colorado,793,730,730,730
2016,5101500US0803081,Moffat County,Congressional District 3 (115th Congress),Colorado,13034,9667,9667,9283
2016,5101500US0803083,Montezuma County,Congressional District 3 (115th Congress),Colorado,26006,20182,20182,19829
2016,5101500US0803085,Montrose County,Congressional District 3 (115th Congress),Colorado,40866,31720,31720,30047
2016,5101500US0803091,Ouray County,Congressional District 3 (115th Congress),Colorado,4651,4019,4019,3948
2016,5101500US0803097,Pitkin County,Congressional District 3 (115th Congress),Colorado,17543,14695,14695,13273
2016,5101500US0803101,Pueblo County,Congressional District 3 (115th Congress),Colorado,162158,124290,124290,120805
2016,5101500US0803103,Rio Blanco County,Congressional District 3 (115th Congress),Colorado,6658,5035,5035,4953
2016,5101500US0803105,Rio Grande County,Congressional District 3 (115th Congress),Colorado,11623,8837,8837,8382
2016,5101500US0803107,Routt County,Congressional District 3 (115th Congress),Colorado,23980,19392,19392,18346
2016,5101500US0803109,Saguache County,Congressional District 3 (115th Congress),Colorado,6255,4814,4814,4326
2016,5101500US0803111,San Juan County,Congressional District 3 (115th Congress),Colorado,552,496,496,496
2016,5101500US0803113,San Miguel County,Congressional District 3 (115th Congress),Colorado,7767,6275,6275,5910
2016,5101500US0804001,Adams County (part),Congressional District 4 (115th Congress),Colorado,7663,5514,5514,5308
2016,5101500US0804005,Arapahoe County (part),Congressional District 4 (115th Congress),Colorado,7271,5495,5495,5400
2016,5101500US0804009,Baca County,Congressional District 4 (115th Congress),Colorado,3648,2865,2865,2789
2016,5101500US0804011,Bent County,Congressional District 4 (115th Congress),Colorado,5816,4893,4893,4640
2016,5101500US0804013,Boulder County (part),Congressional District 4 (115th Congress),Colorado,92713,69665,69665,63125
2016,5101500US0804017,Cheyenne County,Congressional District 4 (115th Congress),Colorado,2071,1458,1458,1350
2016,5101500US0804025,Crowley County,Congressional District 4 (115th Congress),Colorado,5537,4805,4805,4512
2016,5101500US0804035,Douglas County (part),Congressional District 4 (115th Congress),Colorado,205401,148777,148777,143410
2016,5101500US0804039,Elbert County,Congressional District 4 (115th Congress),Colorado,24225,18728,18728,18306
2016,5101500US0804061,Kiowa County,Congressional District 4 (115th Congress),Colorado,1465,1059,1059,1051
2016,5101500US0804063,Kit Carson County,Congressional District 4 (115th Congress),Colorado,8174,6382,6382,5748
2016,5101500US0804071,Las Animas County,Congressional District 4 (115th Congress),Colorado,14322,11695,11695,11318
2016,5101500US0804073,Lincoln County,Congressional District 4 (115th Congress),Colorado,5515,4421,4421,4255
2016,5101500US0804075,Logan County,Congressional District 4 (115th Congress),Colorado,21862,17552,17552,16876
2016,5101500US0804087,Morgan County,Congressional District 4 (115th Congress),Colorado,28288,20733,20733,18400
2016,5101500US0804089,Otero County,Congressional District 4 (115th Congress),Colorado,18440,14066,14066,13319
2016,5101500US0804095,Phillips County,Congressional District 4 (115th Congress),Colorado,4347,3320,3320,3089
2016,5101500US0804099,Prowers County,Congressional District 4 (115th Congress),Colorado,12121,9001,9001,8255
2016,5101500US0804115,Sedgwick County,Congressional District 4 (115th Congress),Colorado,2367,1892,1892,1823
2016,5101500US0804121,Washington County,Congressional District 4 (115th Congress),Colorado,4814,3752,3752,3687
2016,5101500US0804123,Weld County (part),Congressional District 4 (115th Congress),Colorado,277943,203182,203182,188882
2016,5101500US0804125,Yuma County,Congressional District 4 (115th Congress),Colorado,10150,7404,7404,6751
2016,5101500US0805015,Chaffee County,Congressional District 5 (115th Congress),Colorado,18507,15609,15609,15328
2016,5101500US0805041,El Paso County,Congressional District 5 (115th Congress),Colorado,665171,498369,498369,477297
2016,5101500US0805043,Fremont County,Congressional District 5 (115th Congress),Colorado,46835,39254,39254,38550
2016,5101500US0805093,Park County (part),Congressional District 5 (115th Congress),Colorado,7764,6514,6514,6316
2016,5101500US0805119,Teller County,Congressional District 5 (115th Congress),Colorado,23472,19116,19116,18826
2016,5101500US0806001,Adams County (part),Congressional District 6 (115th Congress),Colorado,114690,81640,81640,68211
2016,5101500US0806005,Arapahoe County (part),Congressional District 6 (115th Congress),Colorado,556423,416979,416979,374150
2016,5101500US0806035,Douglas County (part),Congressional District 6 (115th Congress),Colorado,108837,76450,76450,72936
2016,5101500US0807001,Adams County (part),Congressional District 7 (115th Congress),Colorado,357624,259502,259502,226641
2016,5101500US0807059,Jefferson County (part),Congressional District 7 (115th Congress),Colorado,410188,326421,326421,311872
2016,5101500US2301005,Cumberland County,Congressional District 1 (115th Congress),Maine,288204,231584,231584,224910
2016,5101500US2301011,Kennebec County (part),Congressional District 1 (115th Congress),Maine,75381,60674,60674,59752
2016,5101500US2301013,Knox County,Congressional District 1 (115th Congress),Maine,39717,32383,32383,31876
2016,5101500US2301015,Lincoln County,Congressional District 1 (115th Congress),Maine,34165,28265,28265,27783
2016,5101500US2301023,Sagadahoc County,Congressional District 1 (115th Congress),Maine,35134,28350,28350,28131
2016,5101500US2301031,York County,Congressional District 1 (115th Congress),Maine,200536,160721,160721,158701
2016,5101500US2302001,Androscoggin County,Congressional District 2 (115th Congress),Maine,107376,83727,83727,82619
2016,5101500US2302003,Aroostook County,Congressional District 2 (115th Congress),Maine,69405,56315,56315,55291
2016,5101500US2302007,Franklin County,Congressional District 2 (115th Congress),Maine,30270,24737,24737,24506
2016,5101500US2302009,Hancock County,Congressional District 2 (115th Congress),Maine,54483,44856,44856,43903
2016,5101500US2302011,Kennebec County (part),Congressional District 2 (115th Congress),Maine,45572,36180,36180,35857
2016,5101500US2302017,Oxford County,Congressional District 2 (115th Congress),Maine,57299,45882,45882,45357
2016,5101500US2302019,Penobscot County,Congressional District 2 (115th Congress),Maine,152978,124370,124370,122346
2016,5101500US2302021,Piscataquis County,Congressional District 2 (115th Congress),Maine,17044,14031,14031,13913
2016,5101500US2302025,Somerset County,Congressional District 2 (115th Congress),Maine,51363,41098,41098,40717
2016,5101500US2302027,Waldo County,Congressional District 2 (115th Congress),Maine,39071,31410,31410,30882
2016,5101500US2302029,Washington County,Congressional District 2 (115th Congress),Maine,31925,25839,25839,25323
2016,5101500US2401005,Baltimore County (part),Congressional District 1 (115th Congress),Maryland,56078,43791,43791,42732
2016,5101500US2401011,Caroline County,Congressional District 1 (115th Congress),Maryland,32653,24840,24840,23885
2016,5101500US2401013,Carroll County (part),Congressional District 1 (115th Congress),Maryland,64417,50546,50546,49712
2016,5101500US2401015,Cecil County,Congressional District 1 (115th Congress),Maryland,102175,78128,78128,76626
2016,5101500US2401019,Dorchester County,Congressional District 1 (115th Congress),Maryland,32451,25569,25569,24837
2016,5101500US2401025,Harford County (part),Congressional District 1 (115th Congress),Maryland,155554,120093,120093,118012
2016,5101500US2401029,Kent County,Congressional District 1 (115th Congress),Maryland,19819,16536,16536,15870
2016,5101500US2401035,Queen Anne's County,Congressional District 1 (115th Congress),Maryland,48712,37848,37848,37196
2016,5101500US2401039,Somerset County,Congressional District 1 (115th Congress),Maryland,25899,21535,21535,20817
2016,5101500US2401041,Talbot County,Congressional District 1 (115th Congress),Maryland,37668,30625,30625,29501
2016,5101500US2401045,Wicomico County,Congressional District 1 (115th Congress),Maryland,101527,79212,79212,74621
2016,5101500US2401047,Worcester County,Congressional District 1 (115th Congress),Maryland,51441,42311,42311,41257
2016,5101500US2402003,Anne Arundel County (part),Congressional District 2 (115th Congress),Maryland,92777,69781,69781,65732
2016,5101500US2402005,Baltimore County (part),Congressional District 2 (115th Congress),Maryland,437772,341622,341622,317311
2016,5101500US2402025,Harford County (part),Congressional District 2 (115th Congress),Maryland,94222,72187,72187,69899
2016,5101500US2402027,Howard County (part),Congressional District 2 (115th Congress),Maryland,44549,33019,33019,28757
2016,5101500US2402510,Baltimore city (part),Congressional District 2 (115th Congress),Maryland,82337,60334,60334,55225
2016,5101500US2403003,Anne Arundel County (part),Congressional District 3 (115th Congress),Maryland,224442,179147,179147,166797
2016,5101500US2403005,Baltimore County (part),Congressional District 3 (115th Congress),Maryland,140385,110415,110415,103818
2016,5101500US2403027,Howard County (part),Congressional District 3 (115th Congress),Maryland,99194,74627,74627,67567
2016,5101500US2403031,Montgomery County (part),Congressional District 3 (115th Congress),Maryland,115624,88677,88677,76159
2016,5101500US2403510,Baltimore city (part),Congressional District 3 (115th Congress),Maryland,167378,136550,136550,126098
2016,5101500US2404003,Anne Arundel County (part),Congressional District 4 (115th Congress),Maryland,183404,138845,138845,135759
2016,5101500US2404033,Prince George's County (part),Congressional District 4 (115th Congress),Maryland,558501,426558,426558,351985
2016,5101500US2405003,Anne Arundel County (part),Congressional District 5 (115th Congress),Maryland,59114,45160,45160,44309
2016,5101500US2405009,Calvert County,Congressional District 5 (115th Congress),Maryland,90527,68585,68585,67844
2016,5101500US2405017,Charles County,Congressional District 5 (115th Congress),Maryland,154357,115970,115970,112198
2016,5101500US2405033,Prince George's County (part),Congressional District 5 (115th Congress),Maryland,339192,267406,267406,237576
2016,5101500US2405037,St. Mary's County,Congressional District 5 (115th Congress),Maryland,110675,83092,83092,81421
2016,5101500US2406001,Allegany County,Congressional District 6 (115th Congress),Maryland,73060,60192,60192,59252
2016,5101500US2406021,Frederick County (part),Congressional District 6 (115th Congress),Maryland,122929,92442,92442,83324
2016,5101500US2406023,Garrett County,Congressional District 6 (115th Congress),Maryland,29677,23768,23768,23695
2016,5101500US2406031,Montgomery County (part),Congressional District 6 (115th Congress),Maryland,379916,283751,283751,230965
2016,5101500US2406043,Washington County,Congressional District 6 (115th Congress),Maryland,149571,116184,116184,113142
2016,5101500US2407005,Baltimore County (part),Congressional District 7 (115th Congress),Maryland,191431,151224,151224,141498
2016,5101500US2407027,Howard County (part),Congressional District 7 (115th Congress),Maryland,164704,124512,124512,112814
2016,5101500US2407510,Baltimore city (part),Congressional District 7 (115th Congress),Maryland,371285,292938,292938,280870
2016,5101500US2408013,Carroll County (part),Congressional District 8 (115th Congress),Maryland,103118,79236,79236,77850
2016,5101500US2408021,Frederick County (part),Congressional District 8 (115th Congress),Maryland,120536,92597,92597,90925
2016,5101500US2408031,Montgomery County (part),Congressional District 8 (115th Congress),Maryland,530831,412239,412239,334407
2016,5101500US2501003,Berkshire County,Congressional District 1 (115th Congress),Massachusetts,128563,105479,105479,102497
2016,5101500US2501011,Franklin County (part),Congressional District 1 (115th Congress),Massachusetts,14448,11903,11903,11754
2016,5101500US2501013,Hampden County (part),Congressional District 1 (115th Congress),Massachusetts,467765,362656,362656,347127
2016,5101500US2501015,Hampshire County (part),Congressional District 1 (115th Congress),Massachusetts,58050,48486,48486,47358
2016,5101500US2501027,Worcester County (part),Congressional District 1 (115th Congress),Massachusetts,61998,48201,48201,46994
2016,5101500US2502011,Franklin County (part),Congressional District 2 (115th Congress),Massachusetts,56468,46021,46021,44523
2016,5101500US2502015,Hampshire County (part),Congressional District 2 (115th Congress),Massachusetts,102985,87548,87548,82131
2016,5101500US2502021,Norfolk County (part),Congressional District 2 (115th Congress),Massachusetts,3568,2894,2894,2859
2016,5101500US2502027,Worcester County (part),Congressional District 2 (115th Congress),Massachusetts,577262,451099,451099,418865
2016,5101500US2503009,Essex County (part),Congressional District 3 (115th Congress),Massachusetts,216991,163638,163638,143546
2016,5101500US2503017,Middlesex County (part),Congressional District 3 (115th Congress),Massachusetts,407819,314605,314605,285112
2016,5101500US2503027,Worcester County (part),Congressional District 3 (115th Congress),Massachusetts,129990,101559,101559,97118
2016,5101500US2504005,Bristol County (part),Congressional District 4 (115th Congress),Massachusetts,325786,254926,254926,245667
2016,5101500US2504017,Middlesex County (part),Congressional District 4 (115th Congress),Massachusetts,104574,80051,80051,72839
2016,5101500US2504021,Norfolk County (part),Congressional District 4 (115th Congress),Massachusetts,271568,206470,206470,191867
2016,5101500US2504023,Plymouth County (part),Congressional District 4 (115th Congress),Massachusetts,11193,8735,8735,8614
2016,5101500US2504027,Worcester County (part),Congressional District 4 (115th Congress),Massachusetts,34371,26209,26209,24330
2016,5101500US2505017,Middlesex County (part),Congressional District 5 (115th Congress),Massachusetts,672296,538731,538731,466905
2016,5101500US2505025,Suffolk County (part),Congressional District 5 (115th Congress),Massachusetts,71196,57643,57643,46597
2016,5101500US2506009,Essex County (part),Congressional District 6 (115th Congress),Massachusetts,552371,436254,436254,405805
2016,5101500US2506017,Middlesex County (part),Congressional District 6 (115th Congress),Massachusetts,203067,159451,159451,151161
2016,5101500US2507017,Middlesex County (part),Congressional District 7 (115th Congress),Massachusetts,179854,152342,152342,122163
2016,5101500US2507021,Norfolk County (part),Congressional District 7 (115th Congress),Massachusetts,41516,33727,33727,30345
2016,5101500US2507025,Suffolk County (part),Congressional District 7 (115th Congress),Massachusetts,546679,449025,449025,360175
2016,5101500US2508005,Bristol County (part),Congressional District 8 (115th Congress),Massachusetts,6314,4682,4682,4629
2016,5101500US2508021,Norfolk County (part),Congressional District 8 (115th Congress),Massachusetts,374566,298294,298294,274067
2016,5101500US2508023,Plymouth County (part),Congressional District 8 (115th Congress),Massachusetts,226151,173613,173613,161736
2016,5101500US2508025,Suffolk County (part),Congressional District 8 (115th Congress),Massachusetts,149844,128765,128765,117507
2016,5101500US2509001,Barnstable County,Congressional District 9 (115th Congress),Massachusetts,214703,180460,180460,174551
2016,5101500US2509005,Bristol County (part),Congressional District 9 (115th Congress),Massachusetts,222768,177755,177755,164019
2016,5101500US2509007,Dukes County,Congressional District 9 (115th Congress),Massachusetts,17137,14023,14023,13225
2016,5101500US2509019,Nantucket County,Congressional District 9 (115th Congress),Massachusetts,10694,8561,8561,7542
2016,5101500US2509023,Plymouth County (part),Congressional District 9 (115th Congress),Massachusetts,269313,210291,210291,206569
2016,5101500US2601001,Alcona County,Congressional District 1 (115th Congress),Michigan,10461,9083,9083,9017
2016,5101500US2601003,Alger County,Congressional District 1 (115th Congress),Michigan,9396,7938,7938,7889
2016,5101500US2601007,Alpena County,Congressional District 1 (115th Congress),Michigan,28929,23299,23299,23150
2016,5101500US2601009,Antrim County,Congressional District 1 (115th Congress),Michigan,23215,18791,18791,18593
2016,5101500US2601013,Baraga County,Congressional District 1 (115th Congress),Michigan,8612,7147,7147,7073
2016,5101500US2601019,Benzie County,Congressional District 1 (115th Congress),Michigan,17462,14122,14122,14002
2016,5101500US2601029,Charlevoix County,Congressional District 1 (115th Congress),Michigan,26172,20857,20857,20660
2016,5101500US2601031,Cheboygan County,Congressional District 1 (115th Congress),Michigan,25579,20999,20999,20897
2016,5101500US2601033,Chippewa County,Congressional District 1 (115th Congress),Michigan,38330,31027,31027,30461
2016,5101500US2601039,Crawford County,Congressional District 1 (115th Congress),Michigan,13840,11264,11264,11154
2016,5101500US2601041,Delta County,Congressional District 1 (115th Congress),Michigan,36570,29094,29094,28981
2016,5101500US2601043,Dickinson County,Congressional District 1 (115th Congress),Michigan,25889,20689,20689,20606
2016,5101500US2601047,Emmet County,Congressional District 1 (115th Congress),Michigan,33091,26270,26270,25976
2016,5101500US2601053,Gogebic County,Congressional District 1 (115th Congress),Michigan,15650,13202,13202,13121
2016,5101500US2601055,Grand Traverse County,Congressional District 1 (115th Congress),Michigan,90715,71749,71749,70709
2016,5101500US2601061,Houghton County,Congressional District 1 (115th Congress),Michigan,36565,29134,29134,27893
2016,5101500US2601071,Iron County,Congressional District 1 (115th Congress),Michigan,11393,9532,9532,9452
2016,5101500US2601079,Kalkaska County,Congressional District 1 (115th Congress),Michigan,17259,13533,13533,13402
2016,5101500US2601083,Keweenaw County,Congressional District 1 (115th Congress),Michigan,2195,1831,1831,1819
2016,5101500US2601089,Leelanau County,Congressional District 1 (115th Congress),Michigan,21764,18060,18060,17739
2016,5101500US2601095,Luce County,Congressional District 1 (115th Congress),Michigan,6451,5366,5366,5294
2016,5101500US2601097,Mackinac County,Congressional District 1 (115th Congress),Michigan,10998,9174,9174,9018
2016,5101500US2601101,Manistee County,Congressional District 1 (115th Congress),Michigan,24465,20002,20002,19897
2016,5101500US2601103,Marquette County,Congressional District 1 (115th Congress),Michigan,67418,55195,55195,54728
2016,5101500US2601105,Mason County (part),Congressional District 1 (115th Congress),Michigan,7420,6043,6043,6025
2016,5101500US2601109,Menominee County,Congressional District 1 (115th Congress),Michigan,23568,18989,18989,18900
2016,5101500US2601119,Montmorency County,Congressional District 1 (115th Congress),Michigan,9317,7911,7911,7869
2016,5101500US2601131,Ontonagon County,Congressional District 1 (115th Congress),Michigan,6165,5354,5354,5329
2016,5101500US2601135,Oscoda County,Congressional District 1 (115th Congress),Michigan,8374,6776,6776,6732
2016,5101500US2601137,Otsego County,Congressional District 1 (115th Congress),Michigan,24198,18947,18947,18766
2016,5101500US2601141,Presque Isle County,Congressional District 1 (115th Congress),Michigan,12955,10818,10818,10764
2016,5101500US2601153,Schoolcraft County,Congressional District 1 (115th Congress),Michigan,8186,6653,6653,6638
2016,5101500US2602005,Allegan County (part),Congressional District 2 (115th Congress),Michigan,2534,1804,1804,1652
2016,5101500US2602081,Kent County (part),Congressional District 2 (115th Congress),Michigan,165898,125434,125434,115602
2016,5101500US2602085,Lake County,Congressional District 2 (115th Congress),Michigan,11415,9473,9473,9390
2016,5101500US2602105,Mason County (part),Congressional District 2 (115th Congress),Michigan,21335,16720,16720,16436
2016,5101500US2602121,Muskegon County,Congressional District 2 (115th Congress),Michigan,172148,131203,131203,129974
2016,5101500US2602123,Newaygo County,Congressional District 2 (115th Congress),Michigan,47957,36828,36828,36302
2016,5101500US2602127,Oceana County,Congressional District 2 (115th Congress),Michigan,26152,20005,20005,18928
2016,5101500US2602139,Ottawa County,Congressional District 2 (115th Congress),Michigan,276583,207794,207794,200734
2016,5101500US2603015,Barry County,Congressional District 3 (115th Congress),Michigan,59316,45714,45714,45216
2016,5101500US2603025,Calhoun County,Congressional District 3 (115th Congress),Michigan,134691,103261,103261,100569
2016,5101500US2603067,Ionia County,Congressional District 3 (115th Congress),Michigan,64126,49196,49196,48774
2016,5101500US2603081,Kent County (part),Congressional District 3 (115th Congress),Michigan,463454,345527,345527,328648
2016,5101500US2603117,Montcalm County (part),Congressional District 3 (115th Congress),Michigan,3994,3105,3105,3066
2016,5101500US2604035,Clare County,Congressional District 4 (115th Congress),Michigan,30608,24464,24464,24346
2016,5101500US2604037,Clinton County,Congressional District 4 (115th Congress),Michigan,77245,59343,59343,58215
2016,5101500US2604051,Gladwin County,Congressional District 4 (115th Congress),Michigan,25367,20407,20407,20355
2016,5101500US2604057,Gratiot County,Congressional District 4 (115th Congress),Michigan,41676,33157,33157,32943
2016,5101500US2604073,Isabella County,Congressional District 4 (115th Congress),Michigan,70574,58278,58278,56813
2016,5101500US2604107,Mecosta County,Congressional District 4 (115th Congress),Michigan,43259,35043,35043,34538
2016,5101500US2604111,Midland County,Congressional District 4 (115th Congress),Michigan,83559,65135,65135,63450
2016,5101500US2604113,Missaukee County,Congressional District 4 (115th Congress),Michigan,15032,11544,11544,11415
2016,5101500US2604117,Montcalm County (part),Congressional District 4 (115th Congress),Michigan,58928,45330,45330,45037
2016,5101500US2604129,Ogemaw County,Congressional District 4 (115th Congress),Michigan,21103,17125,17125,17008
2016,5101500US2604133,Osceola County,Congressional District 4 (115th Congress),Michigan,23172,17717,17717,17634
2016,5101500US2604143,Roscommon County,Congressional District 4 (115th Congress),Michigan,23900,20240,20240,20111
2016,5101500US2604145,Saginaw County (part),Congressional District 4 (115th Congress),Michigan,85832,67957,67957,67224
2016,5101500US2604155,Shiawassee County,Congressional District 4 (115th Congress),Michigan,68800,53483,53483,53263
2016,5101500US2604165,Wexford County,Congressional District 4 (115th Congress),Michigan,32829,25118,25118,25003
2016,5101500US2605011,Arenac County,Congressional District 5 (115th Congress),Michigan,15327,12509,12509,12466
2016,5101500US2605017,Bay County,Congressional District 5 (115th Congress),Michigan,106107,83797,83797,83288
2016,5101500US2605049,Genesee County,Congressional District 5 (115th Congress),Michigan,413090,315912,315912,312465
2016,5101500US2605069,Iosco County,Congressional District 5 (115th Congress),Michigan,25373,21110,21110,20866
2016,5101500US2605145,Saginaw County (part),Congressional District 5 (115th Congress),Michigan,109369,84170,84170,82619
2016,5101500US2605157,Tuscola County (part),Congressional District 5 (115th Congress),Michigan,17734,13697,13697,13640
2016,5101500US2606005,Allegan County (part),Congressional District 6 (115th Congress),Michigan,111132,83573,83573,82295
2016,5101500US2606021,Berrien County,Congressional District 6 (115th Congress),Michigan,155134,120193,120193,114864
2016,5101500US2606027,Cass County,Congressional District 6 (115th Congress),Michigan,51795,40688,40688,40305
2016,5101500US2606077,Kalamazoo County,Congressional District 6 (115th Congress),Michigan,258605,201578,201578,195746
2016,5101500US2606149,St. Joseph County,Congressional District 6 (115th Congress),Michigan,60923,45617,45617,44268
2016,5101500US2606159,Van Buren County,Congressional District 6 (115th Congress),Michigan,75216,57032,57032,55015
2016,5101500US2607023,Branch County,Congressional District 7 (115th Congress),Michigan,43603,33280,33280,32644
2016,5101500US2607045,Eaton County,Congressional District 7 (115th Congress),Michigan,108544,84792,84792,83065
2016,5101500US2607059,Hillsdale County,Congressional District 7 (115th Congress),Michigan,46024,35704,35704,35537
2016,5101500US2607075,Jackson County,Congressional District 7 (115th Congress),Michigan,159483,124084,124084,122731
2016,5101500US2607091,Lenawee County,Congressional District 7 (115th Congress),Michigan,98673,77074,77074,76205
2016,5101500US2607115,Monroe County,Congressional District 7 (115th Congress),Michigan,149945,116083,116083,114892
2016,5101500US2607161,Washtenaw County (part),Congressional District 7 (115th Congress),Michigan,97888,75000,75000,73529
2016,5101500US2608065,Ingham County,Congressional District 8 (115th Congress),Michigan,284559,226922,226922,212597
2016,5101500US2608093,Livingston County,Congressional District 8 (115th Congress),Michigan,185841,142918,142918,141018
2016,5101500US2608125,Oakland County (part),Congressional District 8 (115th Congress),Michigan,253029,191669,191669,182488
2016,5101500US2609099,Macomb County (part),Congressional District 9 (115th Congress),Michigan,506335,399415,399415,378953
2016,5101500US2609125,Oakland County (part),Congressional District 9 (115th Congress),Michigan,209620,169165,169165,161684
2016,5101500US2610063,Huron County,Congressional District 10 (115th Congress),Michigan,32021,25746,25746,25508
2016,5101500US2610087,Lapeer County,Congressional District 10 (115th Congress),Michigan,88310,68792,68792,67837
2016,5101500US2610099,Macomb County (part),Congressional District 10 (115th Congress),Michigan,353368,271678,271678,261159
2016,5101500US2610147,St. Clair County,Congressional District 10 (115th Congress),Michigan,160069,124874,124874,123236
2016,5101500US2610151,Sanilac County,Congressional District 10 (115th Congress),Michigan,41761,32442,32442,32241
